8.771585, 8.646043, 1.450047, 0.000000
8.834506, 9.774164, 1.452412, 0.914174
8.819919, 11.131333, 1.568315, 0.910273
8.718401, 12.835091, 1.525585, 0.911140
8.758453, 14.767375, 1.546983, 0.907456
8.064571, 16.123433, 2.543858, 0.903554
6.612730, 16.342066, 3.010300, 0.922193
6.131713, 16.276911, -3.139761, 0.923927
4.370187, 16.283487, 3.111397, 0.931296
2.730454, 16.286430, 3.083860, 0.925661
1.114067, 16.317073, 3.076036, 0.923494
-0.687083, 16.372963, 3.094201, 0.921977
-3.277559, 16.386786, 3.086439, 0.922844
-4.884495, 16.427235, 3.063904, 0.920893
-8.116179, 16.426005, 3.111332, 0.920676
-9.902240, 16.435246, -3.133517, 0.911790
-11.761931, 16.407069, 3.081258, 0.918292
-13.432272, 16.427934, 3.063127, 0.913307
-14.828964, 15.786369, -2.497186, 0.916125
-15.218957, 14.358296, -1.667523, 0.919376
-15.174519, 12.982966, -1.606190, 0.932596
-15.114746, 11.674320, -1.541020, 0.931296
-15.035913, 10.264852, -1.568076, 0.923494
-15.121209, 9.031109, -1.658711, 0.936498
-14.988927, 7.804065, -1.212983, 0.924577
-13.167693, 7.438564, -0.220382, 0.942133
-11.340192, 7.366884, 0.017209, 0.947334
-9.630948, 7.524734, -0.014965, 0.944733
-7.876182, 7.521912, -0.000173, 0.945600
-6.064051, 7.566563, -0.034784, 0.941482
-4.338463, 7.539798, -0.042100, 0.946901
-2.630118, 7.516527, -0.077530, 0.943216
0.051753, 7.428554, -0.089872, 0.938015
1.657945, 7.368263, -0.027124, 0.944950
3.219412, 7.417237, 0.006997, 0.941916
4.824929, 7.476362, 0.025851, 0.930429
6.637651, 7.530549, 0.020981, 0.934764
8.315398, 7.979841, 0.429081, 0.931079
8.715005, 9.773546, 1.434932, 0.950585
8.793084, 10.233034, 1.478712, 0.000000
8.800008, 10.232018, 1.480951, 0.000000
8.800180, 10.241357, 1.479450, 0.000000
8.793543, 10.245656, 1.479693, 0.000000
